,SELIC (Taxa de Juros diária),SELIC (Taxa de Juros Anual),SELIC (Taxa de juros meta),SELIC (Taxa de Juros acumulado Mês)
1986-06-01,,,,1.27
1986-06-04,0.065041,17.8,,
1986-06-05,0.067397,18.5,,
1986-06-06,0.06674,18.31,,
1986-06-09,0.068247,18.76,,
1986-06-10,0.067041,18.4,,
1986-06-11,0.06674,18.31,,
1986-06-12,0.066575,18.26,,
1986-06-13,0.066164,18.14,,
1986-06-16,0.066493,18.24,,
1986-06-17,0.066247,18.16,,
1986-06-18,0.066301,18.18,,
1986-06-19,0.066164,18.14,,
1986-06-20,0.066055,18.1,,
1986-06-23,0.06611,18.12,,
1986-06-24,0.066027,18.1,,
1986-06-25,0.066493,18.24,,
1986-06-26,0.066411,18.21,,
1986-06-27,0.066301,18.18,,
1986-06-30,0.066603,18.27,,
1986-07-01,0.06663,18.28,,1.95
1986-07-02,0.068301,18.77,,
1986-07-03,0.073973,20.48,,
1986-07-04,0.083178,23.31,,
1986-07-07,0.083315,23.35,,
1986-07-08,0.083151,23.3,,
1986-07-09,0.084411,23.69,,
1986-07-10,0.085096,23.91,,
1986-07-11,0.085151,23.92,,
1986-07-14,0.085178,23.93,,
1986-07-15,0.084767,23.8,,
1986-07-16,0.084849,23.83,,
1986-07-17,0.084849,23.83,,
1986-07-18,0.085014,23.88,,
1986-07-21,0.085041,23.89,,
1986-07-22,0.08526,23.96,,
1986-07-23,0.08789,24.78,,
1986-07-24,0.088164,24.87,,
1986-07-25,0.088438,24.95,,
1986-07-28,0.088849,25.08,,
1986-07-29,0.088849,25.08,,
1986-07-30,0.088795,25.07,,
1986-07-31,0.088849,25.08,,
1986-08-01,0.088986,25.13,,2.57
1986-08-04,0.089315,25.23,,
1986-08-05,0.089671,25.34,,
1986-08-06,0.090219,25.51,,
1986-08-07,0.093644,26.6,,
1986-08-08,0.110356,32.04,,
1986-08-11,0.127644,37.91,,
1986-08-12,0.126575,37.54,,
1986-08-13,0.129315,38.49,,
1986-08-14,0.129589,38.59,,
1986-08-15,0.132082,39.46,,
1986-08-18,0.132932,39.76,,
1986-08-19,0.132521,39.62,,
1986-08-20,0.132301,39.54,,
1986-08-21,0.132904,39.75,,
1986-08-22,0.133123,39.83,,
1986-08-25,0.133041,39.8,,
1986-08-26,0.133014,39.79,,
1986-08-27,0.133068,39.81,,
1986-08-28,0.132986,39.78,,
1986-08-29,0.13326,39.88,,
1986-09-01,0.130959,39.07,,2.94
1986-09-02,0.131178,39.15,,
1986-09-03,0.131562,39.28,,
1986-09-04,0.13126,39.17,,
1986-09-05,0.131342,39.2,,
1986-09-08,0.131151,39.14,,
1986-09-09,0.131425,39.23,,
1986-09-10,0.131315,39.19,,
1986-09-11,0.131315,39.19,,
1986-09-12,0.131315,39.19,,
1986-09-15,0.131315,39.19,,
1986-09-16,0.131315,39.19,,
1986-09-17,0.131973,39.42,,
1986-09-18,0.13211,39.47,,
1986-09-19,0.132356,39.56,,
1986-09-22,0.132575,39.64,,
1986-09-23,0.132904,39.75,,
1986-09-24,0.132548,39.63,,
1986-09-25,0.132767,39.7,,
1986-09-26,0.132685,39.67,,
1986-09-29,0.132904,39.75,,
1986-09-30,0.132986,39.78,,
1986-10-01,0.066685,18.29,,1.96
1986-10-02,0.071945,19.87,,
1986-10-03,0.076767,21.33,,
1986-10-06,0.08337,23.37,,
1986-10-07,0.083836,23.51,,
1986-10-08,0.084411,23.69,,
1986-10-09,0.086055,24.21,,
1986-10-10,0.086356,24.3,,
1986-10-13,0.08611,24.22,,
1986-10-14,0.08611,24.22,,
1986-10-15,0.086301,24.28,,
1986-10-16,0.086493,24.34,,
1986-10-17,0.086192,24.25,,
1986-10-20,0.086411,24.32,,
1986-10-21,0.086356,24.3,,
1986-10-22,0.086356,24.3,,
1986-10-23,0.086301,24.28,,
1986-10-24,0.086301,24.28,,
1986-10-27,0.086356,24.3,,
1986-10-28,0.086438,24.33,,
1986-10-29,0.086384,24.31,,
1986-10-30,0.086493,24.34,,
1986-10-31,0.090055,25.46,,
1986-11-01,,,,2.37
1986-11-03,0.112685,32.82,,
1986-11-04,0.115041,33.61,,
1986-11-05,0.115123,33.64,,
1986-11-06,0.115041,33.61,,
1986-11-07,0.114575,33.45,,
1986-11-10,0.113452,33.07,,
1986-11-11,0.110822,32.2,,
1986-11-12,0.111205,32.32,,
1986-11-13,0.111342,32.37,,
1986-11-14,0.111781,32.52,,
1986-11-17,0.112219,32.66,,
1986-11-18,0.112164,32.64,,
1986-11-19,0.112192,32.65,,
1986-11-20,0.111233,32.33,,
1986-11-21,0.112192,32.65,,
1986-11-24,0.115041,33.61,,
1986-11-25,0.123397,36.45,,
1986-11-26,0.134986,40.49,,
1986-11-27,0.138,41.56,,
1986-11-28,0.140438,42.43,,
1986-12-01,0.199096,65.07,,5.47
1986-12-02,0.234822,80.59,,
1986-12-03,0.225699,76.49,,
1986-12-04,0.21937,73.71,,
1986-12-05,0.220575,74.24,,
1986-12-08,0.228575,77.78,,
1986-12-09,0.243342,84.5,,
1986-12-10,0.246658,86.04,,
1986-12-11,0.238274,82.16,,
1986-12-12,0.238274,82.16,,
1986-12-15,0.238411,82.23,,
1986-12-16,0.23611,81.18,,
1986-12-17,0.239288,82.63,,
1986-12-18,0.240904,83.37,,
1986-12-19,0.240548,83.21,,
1986-12-22,0.243507,84.58,,
1986-12-23,0.245671,85.58,,
1986-12-24,0.245671,85.58,,
1986-12-26,0.245671,85.58,,
1986-12-29,0.247836,86.6,,
1986-12-30,0.30526,115.56,,
1986-12-31,0.30526,115.56,,
1987-01-01,,,,11.0
1987-01-02,0.30526,115.56,,
1987-01-05,0.416301,184.88,,
